Epoch	Rews	Lens	RAM	Std	Lr_pi	Lr_vf	Time per ep	Time
0	144.58936967964374	150.44	37.17578125	0.085430555	0.0003	0.001	29.32939124107361	29.33026909828186
1	124.84901615639312	132.87	38.3388671875	0.0854286	0.00029995714285714284	0.0009998571428571428	29.46792197227478	58.814631938934326
2	140.57433725557956	147.81	38.027099609375	0.08543011	0.00029991428571428565	0.0009997142857142856	29.671424627304077	88.50275015830994
3	156.19789130958	161.88	38.794189453125	0.08543099	0.00029987142857142857	0.0009995714285714287	29.429899215698242	117.93393397331238
4	143.34831914634756	154.67	39.810546875	0.08543077	0.00029982857142857143	0.0009994285714285715	29.316282272338867	147.25115203857422
5	162.5709497303702	167.31	38.572265625	0.08543097	0.0002997857142857143	0.0009992857142857143	29.42608070373535	176.6783103942871
6	157.61985310897072	167.23	38.835205078125	0.08543131	0.0002997428571428571	0.000999142857142857	29.607484340667725	206.3027319908142
7	188.87134563389156	197.2	38.5966796875	0.08543238	0.00029969999999999997	0.000999	29.362772464752197	235.66673684120178
8	215.15945720604373	223.77	38.904541015625	0.08543264	0.00029965714285714283	0.000998857142857143	29.4754695892334	265.15076327323914
9	227.4653509198533	232.21	38.962890625	0.085432686	0.0002996142857142857	0.0009987142857142857	29.270906686782837	294.42308831214905
10	249.0968526323064	260.06	38.973876953125	0.085433304	0.00029957142857142856	0.0009985714285714285	28.594151973724365	323.01852560043335
11	247.2140720410756	264.37	38.729248046875	0.085434444	0.0002995285714285714	0.0009984285714285716	29.69394826889038	352.7251045703888
12	232.4130875791476	255.36	37.757568359375	0.085434556	0.0002994857142857143	0.0009982857142857144	30.075469255447388	382.8147404193878
13	218.89261554274856	238.47	37.76513671875	0.0854326	0.0002994428571428571	0.0009981428571428572	30.175032138824463	412.9910306930542
14	185.5137344802244	206.63	38.25244140625	0.08542943	0.00029939999999999996	0.000998	30.09951877593994	443.09872937202454
15	250.8658986486146	276.15	38.767822265625	0.08542642	0.0002993571428571428	0.000997857142857143	29.46571397781372	472.5728757381439
16	226.90022431552933	269.79	38.788330078125	0.085423864	0.0002993142857142857	0.0009977142857142856	29.526365756988525	502.11355113983154
17	222.59753577388787	260.0	39.039306640625	0.085420825	0.00029927142857142855	0.0009975714285714286	29.95156955718994	532.0787298679352
18	212.288578746159	240.08	38.775634765625	0.085419446	0.0002992285714285714	0.0009974285714285714	29.623004913330078	561.7030305862427
19	235.12825991698028	274.5	39.0419921875	0.08541921	0.0002991857142857143	0.0009972857142857144	30.3955020904541	592.1106753349304
20	241.5513254429568	290.24	39.0693359375	0.08541852	0.0002991428571428571	0.000997142857142857	29.523716926574707	621.6510231494904
21	251.24103663706418	294.18	39.080810546875	0.085418314	0.00029909999999999995	0.000997	29.043538093566895	650.702734708786
22	239.32003063517254	286.66	39.091064453125	0.08541984	0.0002990571428571428	0.0009968571428571429	29.57878017425537	680.2830712795258
23	246.96853067025455	298.85	38.842041015625	0.085421406	0.0002990142857142857	0.0009967142857142857	29.71542978286743	710.0107982158661
24	271.1040324257858	329.34	38.860107421875	0.08542333	0.00029897142857142854	0.0009965714285714285	29.879969120025635	739.8991432189941
25	262.42266330813027	330.11	39.611572265625	0.08542485	0.0002989285714285714	0.0009964285714285715	29.582334280014038	769.483145236969
26	291.29559871189565	367.07	38.121337890625	0.08542638	0.00029888571428571427	0.0009962857142857143	29.294408559799194	798.7787647247314
27	310.8546994453082	407.85	39.134033203125	0.08542832	0.0002988428571428571	0.0009961428571428571	30.55512022972107	829.3351950645447
28	297.8092691701763	414.87	39.6494140625	0.08543121	0.0002988	0.000996	30.088200330734253	859.424633026123
29	256.5248779277745	339.27	38.906005859375	0.08543333	0.00029875714285714286	0.000995857142857143	29.799872875213623	889.2390701770782
30	298.30581895913764	415.08	38.9150390625	0.08543559	0.00029871428571428567	0.0009957142857142858	30.012392282485962	919.2596642971039
31	272.3468598820944	388.56	39.422607421875	0.085437894	0.00029867142857142854	0.0009955714285714286	30.94967794418335	950.2105624675751
32	285.53137231948233	396.86	38.9296875	0.085439645	0.0002986285714285714	0.0009954285714285714	29.45338249206543	979.6924109458923
