,0,0,0
0,5.463215351104736,-2.1997801052985854e-07,-2.4968961575979384e-07
1,5.496481657028198,-2.7235334115163052e-08,2.484922969990229e-09
2,5.530120134353638,2.2737739049161148e-08,-3.566447917943196e-08
3,5.563035249710083,1.6534534719161283e-08,-5.473264056466767e-09
4,5.596385717391968,-0.0021904931541848966,2.069715825944287e-08
5,5.629729747772217,-0.010639543612409368,3.941718415388307e-06
6,5.662867784500122,-0.01793693091950298,6.772450933649107e-06
7,5.696396112442017,-0.024394877462273916,9.300483542286563e-06
8,5.729891061782837,-0.030121914848166134,1.1540959780204922e-05
9,5.763002157211304,-0.03071049874630353,1.1864577609246349e-05
10,5.798114061355591,-0.03119785703957058,1.206702102169288e-05
11,5.831479549407959,-0.03168917857125485,1.2237948011410406e-05
12,5.8657386302948,-0.03217900220569974,1.2442346346927836e-05
13,5.8961873054504395,-0.0326676320382563,1.2640545102668347e-05
14,5.914687871932983,-0.033155032531277856,1.2835572166131133e-05
15,5.934651851654053,-0.03364121001123816,1.3027995169237909e-05
16,5.965654134750366,-0.034126135385572416,1.3218246854729516e-05
17,5.997008562088013,-0.03460978485193516,1.3406663508106647e-05
18,6.0293943881988525,-0.0350921823770894,1.3593523532972325e-05
19,6.062828540802002,-0.035573289574350735,1.3779024360846417e-05
20,6.096185922622681,-0.03605311531128511,1.3963332261106186e-05
21,6.129547357559204,-0.03653162993827087,1.4146564451648653e-05
22,6.16279149055481,-0.03700883330760186,1.4328819195084362e-05
23,6.196180105209351,-0.03748470755334056,1.4510166948923593e-05
24,6.229647159576416,-0.037959249476752555,1.4690665485350032e-05
25,6.262879848480225,-0.038432434937100836,1.4870307643852164e-05
26,6.296056747436523,-0.038904260650071375,1.5049141873099482e-05
27,6.32964825630188,-0.03937472042964988,1.5227211160435554e-05
28,6.362957000732422,-0.0398437901841003,1.5404526722323377e-05
29,6.396247625350952,-0.04031146922800631,1.5580974596258243e-05
30,6.42950963973999,-0.04077772734470536,1.575643627431669e-05
31,6.462674856185913,-0.04124257546429587,1.5930503807181593e-05
32,6.496100187301636,-0.04170599292439466,1.6104080767645752e-05
33,6.5296149253845215,-0.042167958026334315,1.627711087174924e-05
34,6.5627264976501465,-0.042628475993769066,1.6449557705871046e-05
35,6.5961480140686035,-0.04308751042136199,1.6621377356424475e-05
36,6.629396438598633,-0.04354508399036886,1.679255266913449e-05
37,6.662781238555908,-0.044001148618516964,1.6963046503343978e-05
38,6.696340322494507,-0.044455715014901594,1.713284525797626e-05
39,6.729355096817017,-0.044908767323896016,1.730192982272859e-05
40,6.762768745422363,-0.04536028087548471,1.7470279491308387e-05
41,6.796282052993774,-0.04581025743672104,1.7637884858547448e-05
42,6.829565048217773,-0.04625868094729073,1.780473190147153e-05
43,6.8629584312438965,-0.04670553554028099,1.7970807469622405e-05
44,6.896302223205566,-0.047150805004707294,1.8136096474898417e-05
45,6.9296276569366455,-0.04759449396289348,1.8300379973605495e-05
46,6.962849378585815,-0.04803657148899916,1.8463845741444826e-05
47,6.996231555938721,-0.04847703013163464,1.862648553919945e-05
48,7.029531955718994,-0.009906606767468322,-0.08761430683382641
49,7.062883377075195,0.023315759072849652,-0.20535429281726714
50,7.095981121063232,0.005674713065562387,-0.33919452674773876
51,7.12966251373291,0.03272097076110117,-0.44733491894709065
52,7.162766933441162,0.07535985596568137,-0.5692548589901114
53,7.196137428283691,0.07842328000099488,-0.7222237311305927
54,7.229517221450806,0.07777246410597018,-0.8712465213445278
55,7.26274561882019,0.05760386394088657,-1.0337423036536402
56,7.296083211898804,0.04143561964643366,-1.1931028988228314
57,7.329503297805786,0.05207431287210201,-1.3169545398308509
58,7.362666845321655,0.011944043845050212,-1.4201795362745542
59,7.396004915237427,-0.014231038850813296,-1.507580751894614
60,7.429585695266724,-0.04420775426807419,-1.5645056704848328
61,7.462825298309326,-0.04681740904036867,-1.6161311394895612
62,7.496052265167236,-0.057491450140101846,-1.6767661087705268
63,7.5293498039245605,-0.06236998751997472,-1.7083305712093038
64,7.562605857849121,-0.0790589420652106,-1.7535854261992763
65,7.596118927001953,-0.09711365999654846,-1.7834393779892619
66,7.6293206214904785,-0.12301037440769771,-1.8283265597500666
67,7.662730932235718,-0.12259388508433952,-1.8489403146913965
68,7.695938587188721,-0.1319966376069869,-1.879231878711673
69,7.729276180267334,-0.15789833694363664,-1.9051278254897048
70,7.762733221054077,-0.20143298573766943,-1.9418338527078303
71,7.796179294586182,-0.2303866586152305,-1.9560903334736368
72,7.8294878005981445,-0.25354221573181535,-1.9660581688242627
73,7.8628013134002686,-0.2606666119864563,-1.9828689971168416
74,7.896163463592529,-0.2497000173274497,-2.0045705930556523
75,7.929495096206665,-0.24374687018614316,-2.0286466171738566
76,7.962723016738892,-0.26397130063042124,-2.0361705230811236
77,7.996068954467773,-0.256732272284863,-2.052889880548712
78,8.029525756835938,-0.25506824219485186,-2.0566924907386137
79,8.062872648239136,-0.25610260041616595,-2.0555362409929874
80,8.096227169036865,-0.25703288936416435,-2.0543487328667864
81,8.129363059997559,-0.25793834377104197,-2.0531641386431345
82,8.16284465789795,-0.25878882371788603,-2.0519875808207075
83,8.196311473846436,-0.2596291142735958,-2.050809448994859
84,8.229748249053955,-0.2604212659602362,-2.0496368397756006
85,8.262813329696655,-0.2611606920767444,-2.0484727465947046
86,8.296180486679077,-0.2651103458292282,-2.049670181887399
87,8.329732418060303,-0.26889055822094016,-2.053319468114706
88,8.363044500350952,-0.27579567444877534,-2.0594508990655256
89,8.396084547042847,-0.31510888792183955,-2.1205931531533313
90,8.429592370986938,-0.3357681162482066,-2.1974596641943
91,8.462887525558472,-0.287755299697271,-2.289954094608135
92,8.496254682540894,-0.2498544325738652,-2.4075497329639046
93,8.529513835906982,-0.24670043244163753,-2.4633700727748256
94,8.562764644622803,-0.27329099764973364,-2.5321053341890085
95,8.59613299369812,-0.2502028550719285,-2.5943424283752368
96,8.629589796066284,-0.23910972908928513,-2.641434351303036
97,8.662896156311035,-0.22464959492503933,-2.725958534387734
