Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.13266706466674805,0.0,0,0.0,0.0
0.9890391826629639,-0.5,0,0.003608099406152918,0.0005124585726577087
1.7537262439727783,-0.5,0,-0.5121125411125454,-0.002127982183549925
2.5878326892852783,-0.5,0,-0.5131225757955306,0.0008091033265102405
3.291815757751465,-0.5,0,-0.5045443537917728,0.003662279783453429
4.465532064437866,-0.5,0,-0.4852263007184589,0.001176594403312364
5.365423679351807,-0.5,0,-0.4952943928810481,0.0026638635844436352
6.109931468963623,-0.5,0,-0.4972689766098156,0.0017153879259550785
7.060598373413086,-0.5,0,-0.4907533680322419,0.0050420620447041275
7.794105768203735,-0.5,0,-0.4862355504069506,0.0004812061375646067
8.634453058242798,-0.5,0,-0.49434113556415576,0.0005138376781228119
9.911898851394653,-0.5,0,-0.4879502352766507,0.0028184553673096346
