Epoch	Rews	Lens	RAM	Std	Lr_pi	Lr_vf	Time per ep	Time
0	74.31919393915418	78.17	39.478515625	0.9980758	0.0003	0.001	16.220311641693115	16.22156834602356
1	62.20464235212888	67.94	39.539306640625	0.99745584	0.00029995714285714284	0.0009998571428571428	16.416821241378784	32.639678716659546
2	60.6658353348201	65.18	39.702392578125	0.9959242	0.00029991428571428565	0.0009997142857142856	15.995835304260254	48.637105226516724
3	70.47013415529193	73.88	39.724609375	0.99309	0.00029987142857142857	0.0009995714285714287	15.787463903427124	64.42583107948303
4	64.09608587687568	68.02	39.5009765625	0.99059755	0.00029982857142857143	0.0009994285714285715	16.14331293106079	80.57017183303833
5	73.78200321202502	75.85	39.536865234375	0.9876228	0.0002997857142857143	0.0009992857142857143	27.48966336250305	108.06102681159973
6	70.16133459342358	72.64	39.802734375	0.98439103	0.0002997428571428571	0.000999142857142857	15.725462675094604	123.78805470466614
7	69.11722115941535	73.19	39.815185546875	0.9806147	0.00029969999999999997	0.000999	16.052311420440674	139.84136295318604
8	77.27002510229204	77.71	39.82470703125	0.9775286	0.00029965714285714283	0.000998857142857143	15.74241042137146	155.58528327941895
9	72.344106270799	76.57	39.593994140625	0.9741201	0.0002996142857142857	0.0009987142857142857	16.71836233139038	172.30490803718567
10	82.5807559423623	82.81	39.857177734375	0.9707195	0.00029957142857142856	0.0009985714285714285	17.386857748031616	189.69328331947327
11	70.35959897597634	71.21	39.868896484375	0.96661264	0.0002995285714285714	0.0009984285714285716	16.228313207626343	205.92316246032715
12	76.04686551576468	76.95	39.876953125	0.96276355	0.0002994857142857143	0.0009982857142857144	15.65958857536316	221.5839626789093
13	78.5093247778249	80.77	39.388671875	0.9593544	0.0002994428571428571	0.0009981428571428572	15.923057794570923	237.50766038894653
14	79.05043627305055	79.53	39.904296875	0.957016	0.00029939999999999996	0.000998	16.216339588165283	253.72514414787292
15	72.65545314935585	73.53	39.677001953125	0.9535117	0.0002993571428571428	0.000997857142857143	15.7883620262146	269.5147590637207
16	88.34688625810972	90.3	41.22998046875	0.94991606	0.0002993142857142857	0.0009977142857142856	16.340627670288086	285.856689453125
17	86.76392232953067	85.91	41.24462890625	0.9465718	0.00029927142857142855	0.0009975714285714286	15.862478017807007	301.7200162410736
18	97.14034834322331	94.54	40.0126953125	0.94364005	0.0002992285714285714	0.0009974285714285714	16.36469268798828	318.08594274520874
19	82.1544218798655	80.91	41.339599609375	0.9397976	0.0002991857142857143	0.0009972857142857144	15.753058433532715	333.83983850479126
20	94.31210026282326	94.42	40.113525390625	0.93625623	0.0002991428571428571	0.000997142857142857	16.255784034729004	350.09681129455566
21	101.45478986311568	102.33	39.619140625	0.9324774	0.00029909999999999995	0.000997	15.783204793930054	365.8812720775604
22	88.17730003515187	89.37	40.133544921875	0.92868096	0.0002990571428571428	0.0009968571428571429	11.457143068313599	377.33991169929504
23	101.00293726342808	100.35	40.72705078125	0.9248639	0.0002990142857142857	0.0009967142857142857	15.97243332862854	393.31295466423035
24	92.09076890199239	92.4	39.990234375	0.92167896	0.00029897142857142854	0.0009965714285714285	17.307268857955933	410.62171697616577
25	102.38491154595309	104.12	41.636474609375	0.91820985	0.0002989285714285714	0.0009964285714285715	116.29664182662964	526.9192488193512
26	100.54015544153305	97.45	40.404541015625	0.9145773	0.00029888571428571427	0.0009962857142857143	15.953696966171265	542.8744838237762
27	95.03325935679877	95.22	41.66162109375	0.91141367	0.0002988428571428571	0.0009961428571428571	16.29583716392517	559.1731612682343
28	128.09495973083537	125.68	40.432373046875	0.9080079	0.0002988	0.000996	15.888637781143188	575.0630397796631
29	107.74341873058678	107.96	40.735107421875	0.9049639	0.00029875714285714286	0.000995857142857143	11.394522666931152	586.4593665599823
30	115.4088640662519	115.62	41.72900390625	0.90210456	0.00029871428571428567	0.0009957142857142858	17.163342237472534	603.6233062744141
31	107.21952542738322	108.78	40.48779296875	0.8986483	0.00029867142857142854	0.0009955714285714286	16.307430744171143	619.9325687885284
32	128.62917800529587	126.34	40.4892578125	0.8955057	0.0002986285714285714	0.0009954285714285714	15.840769529342651	635.7746646404266
33	118.61207357500462	115.6	41.518310546875	0.89319354	0.00029858571428571426	0.0009952857142857144	16.643848657608032	652.4196865558624
34	116.80531418372215	114.31	42.234375	0.88969153	0.00029854285714285713	0.0009951428571428572	15.809815645217896	668.2311081886292
35	129.2892112936728	125.5	42.288818359375	0.8861261	0.0002985	0.000995	15.87744140625	684.1098909378052
36	125.91029285259211	120.06	42.5400390625	0.8824664	0.00029845714285714286	0.0009948571428571428	15.789169788360596	699.9006106853485
37	127.87770636392771	124.89	42.541015625	0.8796484	0.00029841428571428566	0.0009947142857142856	16.022169828414917	715.9239792823792
38	135.82019280089406	131.06	40.842041015625	0.8770663	0.00029837142857142853	0.0009945714285714286	15.74802017211914	731.673193693161
39	150.8612515439058	144.53	40.80810546875	0.8741729	0.0002983285714285714	0.0009944285714285715	15.927778720855713	747.6025099754333
40	124.54084334118143	120.91	40.86767578125	0.8711819	0.00029828571428571426	0.0009942857142857143	16.23581075668335	763.840006351471
41	143.06045540078608	138.34	41.060546875	0.86818546	0.0002982428571428571	0.000994142857142857	16.042482614517212	779.8837692737579
42	159.05509080799092	153.34	41.81689453125	0.866149	0.0002982	0.000994	16.165773630142212	796.0503857135773
43	164.1353733577793	156.95	42.306884765625	0.86406565	0.00029815714285714285	0.000993857142857143	15.802666425704956	811.8549590110779
44	162.21810424839725	160.68	42.080322265625	0.8617773	0.00029811428571428566	0.0009937142857142857	16.204026699066162	828.0599453449249
45	169.46868540727385	166.66	42.093017578125	0.85937876	0.0002980714285714285	0.0009935714285714285	15.987058639526367	844.0482385158539
46	129.32032991153932	127.68	40.60205078125	0.8576873	0.0002980285714285714	0.0009934285714285715	16.454412937164307	860.5033512115479
47	132.1774343249096	128.55	41.872802734375	0.8546577	0.00029798571428571425	0.0009932857142857143	15.835281372070312	876.3402268886566
48	156.81369457879148	149.73	41.859130859375	0.8519487	0.0002979428571428571	0.0009931428571428572	16.70979356765747	893.0513279438019
49	148.57424366871123	142.33	41.1337890625	0.8503125	0.0002979	0.000993	15.993529081344604	909.0464782714844
50	132.02237702135787	125.04	42.136474609375	0.84818107	0.00029785714285714284	0.000992857142857143	15.884908199310303	924.9329528808594
51	146.58805581282465	143.79	41.89990234375	0.84601325	0.00029781428571428565	0.0009927142857142856	15.80405855178833	940.7386517524719
52	154.53890395630083	148.45	41.90576171875	0.843726	0.0002977714285714285	0.0009925714285714286	20.049195289611816	960.7891173362732
53	133.38004280784534	126.87	40.663818359375	0.841115	0.00029772857142857143	0.0009924285714285714	16.454277515411377	977.2452123165131
54	150.5298952593129	151.23	42.908203125	0.83931917	0.0002976857142857143	0.0009922857142857144	15.832555294036865	993.0789856910706
55	149.58352032393287	147.09	41.42333984375	0.83776355	0.0002976428571428571	0.000992142857142857	16.239811658859253	1009.3202204704285
56	160.55019138565007	153.78	42.439208984375	0.83561677	0.00029759999999999997	0.000992	15.808680057525635	1025.129806280136
57	138.75352531185675	133.91	39.500244140625	0.8340065	0.00029755714285714283	0.0009918571428571429	16.2530620098114	1041.384476184845
58	152.42037116053297	150.08	41.433349609375	0.8322565	0.0002975142857142857	0.0009917142857142859	15.714530229568481	1057.1002378463745
59	178.03435162387635	170.07	42.23779296875	0.8313742	0.00029747142857142856	0.0009915714285714285	15.93624758720398	1073.0379173755646
60	168.91139942098846	165.28	41.247314453125	0.82958585	0.0002974285714285714	0.0009914285714285715	15.825024127960205	1088.8642046451569
61	158.80237190625826	152.9	41.26025390625	0.82825595	0.0002973857142857143	0.0009912857142857143	15.731449604034424	1104.5969257354736
62	179.5998451494601	179.56	42.75244140625	0.826474	0.0002973428571428571	0.000991142857142857	15.835471868515015	1120.4339761734009
63	164.62175426391332	164.38	42.75146484375	0.8245163	0.00029729999999999996	0.000991	16.097749710083008	1136.5334026813507
64	177.62828823681102	175.6	41.275634765625	0.82263255	0.0002972571428571428	0.000990857142857143	16.21523404121399	1152.7502872943878
65	173.2410141840706	174.31	42.5185546875	0.8209979	0.0002972142857142857	0.0009907142857142857	15.720011234283447	1168.4725997447968
66	158.57930538852096	159.67	42.51953125	0.8192515	0.00029717142857142855	0.0009905714285714285	16.359063863754272	1184.8322432041168
67	176.86223431570085	176.38	42.771240234375	0.81756574	0.0002971285714285714	0.0009904285714285714	15.814266204833984	1200.6486485004425
68	169.40024567098092	165.35	42.03173828125	0.81625646	0.0002970857142857143	0.0009902857142857144	16.179924488067627	1216.8298063278198
69	144.30358642034017	146.17	41.299560546875	0.8145681	0.0002970428571428571	0.0009901428571428572	15.862549543380737	1232.6937589645386
70	145.24263972055098	144.29	41.3212890625	0.81272453	0.00029699999999999996	0.00099	16.32538390159607	1249.0214638710022
71	154.22436594901723	158.5	42.578857421875	0.81095386	0.0002969571428571428	0.0009898571428571428	16.024012804031372	1265.0468137264252
72	132.5627194108208	127.8	41.338134765625	0.80951184	0.0002969142857142857	0.0009897142857142858	16.455938577651978	1281.5036787986755
