seed,policy,steps,total_reward,valid_scenario,titan_success,spot_success,team_success,titan_failed,spot_failed,titan_wall_collision,spot_wall_collision,titan_robot_collision,spot_robot_collision,titan_tipped,spot_tipped,titan_goal_step,spot_goal_step,titan_final_goal_distance,spot_final_goal_distance,min_robot_distance,titan_action_mae,spot_action_mae
9,ppo,60,61.1334333654131,True,False,False,False,True,True,True,False,False,True,False,False,,,4.2980301785288715,6.714295208646222,1.097601294517517,,
9,depth4_e,117,55.9605948123449,True,False,False,False,True,True,True,False,False,True,True,False,,,4.26861254957016,6.6272821552832815,1.0056143999099731,0.41465183247623427,0.9908769355258934
9,depth6_e,20,-6.252201401961203,True,False,False,False,True,True,False,False,True,True,False,False,,,6.72226674201317,7.634489429186295,0.8357899785041809,0.42406847385297486,0.5927078410006398
9,high_fidelity_e,20,0.2832523795535735,True,False,False,False,True,True,False,False,True,True,False,False,,,6.72226674201317,7.665576034088,0.8994181752204895,0.4036707878259844,0.40558759573765857
10,ppo,200,1206.7811302496373,True,False,True,False,True,False,True,False,False,False,False,False,,107,4.806208542356055,1.1283908522525201,1.7854158878326416,,
10,depth4_e,108,129.19617083142987,True,False,False,False,True,True,False,False,True,True,False,False,,,5.343722473243006,4.127610924284487,1.2862110137939453,0.6705051926829367,0.9180544131503562
10,depth6_e,200,1241.4654099150214,True,False,True,False,True,False,True,False,False,False,True,False,,134,4.614465100621472,3.263282958385362,1.7725483179092407,0.7281569467276668,0.4424410666867529
10,high_fidelity_e,200,1248.3207857033515,True,False,True,False,True,False,True,False,False,False,True,False,,126,4.614465100621472,2.9333524670346063,1.7804648876190186,0.7650214893913386,0.39794068397377236
11,ppo,114,40.353347385696544,True,False,False,False,True,True,True,False,False,True,True,False,,,4.780630780643883,6.193481222879914,1.1624168157577515,,
11,depth4_e,78,68.66621376569222,True,False,False,False,True,True,True,False,False,True,True,False,,,4.7814132993413665,6.104128867452981,1.1621184349060059,0.3658415391882483,0.8759428913621696
11,depth6_e,28,-10.900812383504658,True,False,False,False,True,True,False,False,True,True,False,False,,,6.135413812941615,6.9961563304256575,1.1623644828796387,0.20596098297982848,0.8614906258968842
11,high_fidelity_e,47,53.13484363046143,True,False,False,False,True,True,True,False,False,True,False,False,,,4.907072372211491,6.223556251742043,1.1628167629241943,0.34862556038369164,0.6386953245159306
