seed,policy,steps,total_reward,valid_scenario,titan_success,spot_success,team_success,titan_failed,spot_failed,titan_wall_collision,spot_wall_collision,titan_robot_collision,spot_robot_collision,titan_tipped,spot_tipped
18,ppo,81,61.33541120442676,True,False,False,False,True,True,True,False,False,False,True,False
18,depth4_e,83,68.00127007931353,True,False,False,False,True,True,True,False,False,False,True,False
18,depth6_e,25,9.270735999127528,True,False,False,False,True,True,False,False,False,False,False,False
18,high_fidelity_e,46,54.31542993217866,True,False,False,False,True,True,True,False,False,False,False,False
19,ppo,97,52.25510102792723,True,False,False,False,True,True,True,False,False,False,True,False
19,depth4_e,91,63.25444250786895,True,False,False,False,True,True,True,False,False,False,True,False
19,depth6_e,50,69.21521372069229,True,False,False,False,True,True,True,False,False,False,False,False
19,high_fidelity_e,45,76.6488355431164,True,False,False,False,True,True,True,False,False,False,False,False
20,ppo,57,59.75974013819839,True,False,False,False,True,True,True,False,False,False,False,False
20,depth4_e,96,69.77587229909744,True,False,False,False,True,True,True,False,False,False,True,False
20,depth6_e,43,49.73454554725235,True,False,False,False,True,True,True,False,False,False,False,False
20,high_fidelity_e,48,57.35760108524505,True,False,False,False,True,True,True,False,False,False,False,False
21,ppo,200,2318.9904563289247,True,True,True,True,True,False,True,False,False,False,False,False
21,depth4_e,112,129.8522090959427,True,False,False,False,True,True,False,False,False,False,False,False
21,depth6_e,200,1213.9236964568115,True,False,True,False,True,False,True,False,False,False,True,False
21,high_fidelity_e,151,91.95463890031321,True,False,False,False,True,True,True,False,False,False,True,False
22,ppo,78,54.996586571770635,True,False,False,False,True,True,True,False,False,False,True,False
22,depth4_e,79,76.45851191785762,True,False,False,False,True,True,True,False,False,False,True,False
22,depth6_e,49,70.19031887432544,True,False,False,False,True,True,True,False,False,False,False,False
22,high_fidelity_e,50,71.40702770200818,True,False,False,False,True,True,True,False,False,False,False,False
23,ppo,104,61.32764640331526,True,False,False,False,True,True,True,False,False,False,True,False
23,depth4_e,52,51.599853758431564,True,False,False,False,True,True,True,False,False,False,False,False
23,depth6_e,39,42.13770269078627,True,False,False,False,True,True,False,False,False,False,False,False
23,high_fidelity_e,38,17.223161976303473,True,False,False,False,True,True,False,False,False,False,False,False
24,ppo,200,1184.588844362533,True,False,True,False,True,False,True,False,False,False,True,False
24,depth4_e,117,133.55456269446037,True,False,False,False,True,True,False,False,False,False,False,False
24,depth6_e,127,149.65336369978337,True,False,False,False,True,True,False,False,False,False,False,False
24,high_fidelity_e,123,133.2903898886031,True,False,False,False,True,True,False,False,False,False,False,False
25,ppo,41,39.21743842651584,True,False,False,False,True,True,True,False,False,False,False,False
25,depth4_e,85,60.75195245809523,True,False,False,False,True,True,True,False,False,False,True,False
25,depth6_e,42,38.74154237148332,True,False,False,False,True,True,True,False,False,False,False,False
25,high_fidelity_e,40,29.016035329611462,True,False,False,False,True,True,True,False,False,False,False,False
26,ppo,94,49.63072035228316,True,False,False,False,True,True,True,False,False,False,True,False
26,depth4_e,90,68.61344771854259,True,False,False,False,True,True,True,False,False,False,True,False
26,depth6_e,31,4.473772213562807,True,False,False,False,True,True,False,False,False,False,False,False
26,high_fidelity_e,38,-12.908278170869407,True,False,False,False,True,True,False,False,False,False,False,False
27,ppo,200,30.468846028774387,True,False,False,False,True,False,True,False,False,False,True,False
27,depth4_e,80,62.63385520824402,True,False,False,False,True,True,True,False,False,False,True,False
27,depth6_e,35,34.69958831568928,True,False,False,False,True,True,False,False,False,False,False,False
